skills,matched_score
environmental protection,0.8632738095357143
environmental science,0.8632738095357143
database design,0.8632738095357143
process development and engineering,0.8632738095357143
data warehouse,0.8632738095357143
curriculum development,0.8632738095357143
microsoft sql,0.8632738095357143
asp.net 4.5,0.8632738095357143
project management lifecycle,0.8505952380714286
microsoft teams,0.8505952380714286
sales force,0.8505952380714286
ad copy,0.8505952380714286
engineering projects,0.8505952380714286
advertisements,0.8505952380714286
dynamic ax,0.8505952380714286
gantt chart scheduler,0.8505952380714286
strong written and verbal communication skills,0.8505952380714286
six sigma green belt,0.8474999999642857
critical thinking skills,0.8474999999642857
prioritization,0.8474999999642857
develop drug,0.8474999999642857
iia,0.8474999999642857
market and development,0.8474999999642857
articles,0.8444047619285715
pneumatic and hydraulic theory,0.8444047619285715
forklift and crane certification,0.8444047619285715
mechanical theory,0.8444047619285715
ndt level ii,0.8444047619285715
10key by touch,0.8444047619285715
self-motivation,0.8444047619285715
mechanical test equipment,0.8444047619285715
law enforcement,0.8444047619285715
pc's,0.8444047619285715
multidisciplinary exposure,0.8422619047857143
initiative to work independently,0.8422619047857143
chemical engineering technician,0.8422619047857143
ms office proficiency,0.8422619047857143
5s expert,0.8422619047857143
complex problem solver,0.8422619047857143
engineering standards expert,0.8422619047857143
troubleshooting specialist,0.8422619047857143
strong collaborative skills,0.8422619047857143
equipment inventory,0.8422619047857143
document management testing,0.8422619047857143
engineering management,0.8422619047857143
excellent communication techniques,0.8422619047857143
project and visio,0.8422619047857143
quality inspection professional,0.8422619047857143
patient and diligent,0.8422619047857143
safety member,0.8422619047857143
validations,0.8422619047857143
validation process specialist,0.8422619047857143
advanced engineering knowledge,0.8422619047857143
advanced critical thinking,0.8422619047857143
google documents,0.8422619047857143
windows & mac os,0.8382142857142857
"voip, tcp/ip, ipsec, atm, ss7, ipx, dns, bind, dhcp, hsrp and lan/wan architecture",0.8382142857142857
"pc hardware and software installation, configuration, and troubleshooting",0.8382142857142857
management,0.8382142857142857
network security,0.8382142857142857
"wiring/wire spicing: cat3, cat5, cat5e, coaxial",0.8382142857142857
programming languages,0.8382142857142857
voice over ip telephone,0.8382142857142857
verbal communication,0.8382142857142857
on-call tech support,0.8382142857142857
remote desktop and help desk management,0.8382142857142857
minute taking,0.8294047619047619
problem resolution,0.8294047619047619
active learning,0.8294047619047619
letters and memos,0.8294047619047619
service orientation,0.8294047619047619
meticulous attention to detail,0.8294047619047619
managing multiple priorities,0.8294047619047619
executive management support,0.8294047619047619
multi-task management,0.8294047619047619
computer proficiency,0.8294047619047619
software systems engineering,0.8285714286071428
systems engineering management,0.8285714286071428
system configuration,0.8285714286071428
tools of operations research,0.8285714286071428
cost reduction and avoidance,0.8285714286071428
auto cad,0.8285714286071428
know-your-consumer (kyc),0.8285714286071428
iso 9001,0.8246428571607142
solid works,0.8190873015833333
stk,0.8185714286071428
c/python,0.8185714286071428
analyst,0.818392857125
worked with management to document and offset unusual expense variances in their respective areas.,0.815297619047619
"received, recorded, and banked cash, checks, and vouchers as well as reconciled records of bank transactions.",0.815297619047619
mainframe,0.815297619047619
managerial accounting,0.815297619047619
macintosh,0.815297619047619
managerial,0.815297619047619
ibm-pc,0.815297619047619
"assisted the cfo with the production of the monthly financials, management reports and board packages.",0.815297619047619
researched and resolved billing and invoice problems.,0.815297619047619
budget analysis,0.815297619047619
maintains inventory,0.815297619047619
program development,0.815297619047619
expert in customer relations,0.815297619047619
fds,0.815297619047619
microsoft office software,0.815297619047619
coded the general ledger and processed vendor invoice payments.,0.815297619047619
fiscal management,0.815297619047619
scanner,0.815297619047619
"performed debit, credit and total accounts on computer spreadsheets/databases, using specialized accounting software.",0.815297619047619
cost accounting,0.815297619047619
fund accounting,0.815297619047619
copier,0.815297619047619
real time,0.8135119047142857
workshops,0.8112142857202381
"construct, test and troubleshoot ac/dc circuits",0.8103571428928572
"determine voltage, current, resistance and power by calculations and measurements",0.8103571428928572
studied and understand programmable logic controllers,0.8103571428928572
"understand different types of transmission lines: twisted pair, utp, shielded pair and coaxial",0.8103571428928572
utilize oscilloscopes to measure ac frequency,0.8103571428928572
adapt to new technology at an accelerated rate,0.8103571428928572
identify electronic components and schematic symbols,0.8103571428928572
strong oral and written communication skills,0.8103571428928572
skilled in the use of hand tools for repairing and installing electronics,0.8103571428928572
"familiar in c+, c++, java script, sql, visual studio, microsoft team foundation, microsoft test manager, tera term, gshell, linux, osi",0.8103571428928572
create circuits with multisim cad software,0.8103571428928572
"troubleshoot and identify faulty capacitors, inductors and transformers",0.8103571428928572
very proficient in soldering,0.8103571428928572
assemble/disassemble pcs and electronics to the component level,0.8103571428928572
digital communications with fiber optics,0.8103571428928572
"proficient with microsoft word, excel, powerpoint, access, outlook",0.8103571428928572
lean manufacturing and management,0.8080952381071428
keynote,0.8080952381071428
java 1,0.8080952381071428
pfd,0.8080952381071428
analytical and logical,0.8080952381071428
netbeans,0.8080952381071428
java 2,0.8080952381071428
microsoft access 2010,0.8080952381071428
visual studio 2008-2010,0.8080952381071428
sound judgment,0.8080952381071428
numbers,0.8080952381071428
facilities management,0.8080952381071428
motivational,0.8080952381071428
water treatment,0.8080952381071428
microsoft office 2003-2011,0.8080952381071428
pages,0.8080952381071428
textpad,0.8080952381071428
java script,0.8080952381071428
out of the box thinking,0.8080952381071428
strong leadership skills,0.8080952381071428
coach,0.8080952381071428
user support,0.8080952381071428
policy/program development,0.8080952381071428
six sigma certified,0.8080952381071428
powersteering,0.8080952381071428
web design 2,0.8080952381071428
computersavvy,0.8080952381071428
human resource management,0.8080952381071428
rcm,0.8080952381071428
sql server 2008,0.8080952381071428
supervision and training,0.8080952381071428
problem-solving skills,0.8080952381071428
apple lion,0.8080952381071428
six sigma tools and methodologies,0.8080952381071428
"microsoft visio, 2008-2010",0.8080952381071428
re-engineering,0.8080952381071428
budget management,0.8080952381071428
tango,0.8080952381071428
web design 1,0.8080952381071428
maintain inventory,0.8075000000178572
cd-roms,0.8066666666785715
ceridian,0.8066666666785715
multimedia,0.8066666666785715
sound cards,0.8066666666785715
test tools,0.8066666666785715
sun,0.8066666666785715
usb,0.8066666666785715
quest,0.8066666666785715
executive management,0.8066666666785715
sap r/3,0.8048809523928571
pro e,0.8048809523928571
strategy/planning,0.8048809523928571
reduce waste,0.8048809523928571
supervising 4,0.8048809523928571
supply chain management,0.8045238095297619
hand tools,0.8039285714821428
creative problem solving,0.8022916666666666
client relations development,0.800952380952381
market evaluation,0.800952380952381
cost-benefit analysis,0.800952380952381
functional requirements,0.800952380952381
proposal writing,0.800952380952381
performance management,0.800952380952381
integrated reporting information system (iris),0.800952380952381
technology architecture analysis,0.800952380952381
forecasting and planning,0.800952380952381
underwriting,0.800952380952381
requirement tracing,0.800952380952381
professor,0.800952380952381
scope and project definition,0.800952380952381
business systems,0.800952380952381
business systems analysis,0.800952380952381
recruitment,0.800952380952381
relationship building,0.800952380952381
business consulting,0.800952380952381
excellent at networking,0.79882766665
product and service sales,0.79882766665
conflict resolution,0.79882766665
goals and performance,0.79882766665
relationship building and management,0.79882766665
account management and development,0.79882766665
territory management,0.79882766665
key decision making,0.79882766665
verbal and written communication,0.79882766665
client relations,0.7964444444444445
dmaic,0.7960119047857143
customer relations,0.7900357142936507
lean/5s,0.7899880952142857
hydraulic testing,0.7899880952142857
dasylab,0.7899880952142857
test stand fabrication,0.7899880952142857
electrical,0.7899880952142857
needs analysis,0.7897619047619048
training material,0.7897619047619048
peoplesoft hrms,0.7897619047619048
training design and development,0.7897619047619048
instructional design,0.7897619047619048
peoplesoft finance applications,0.7897619047619048
leadership training,0.7897619047619048
videoscribe software,0.7897619047619048
quality management,0.7892857142857144
configuration management,0.7892857142857144
environmental health and safety,0.7892857142857144
skill 3,0.7892857142857144
skill 5,0.7892857142857144
skill 4,0.7892857142857144
develop business,0.7892857142857144
network installation,0.7892857142857144
skill 6,0.7892857142857144
skill 2,0.7892857142857144
skill 1,0.7892857142857144
project coordinator,0.7892738095238095
superb communication skills,0.7892738095238095
strong requirement tracing,0.7892738095238095
cross-functional team leadership,0.7892738095238095
advanced problem solving abilities,0.7892738095238095
developing other business analyst,0.7892738095238095
advanced presentation,0.7892738095238095
basic financial and operational reporting,0.7892738095238095
document reports,0.7892738095238095
vista,0.7891071428571428
internet research,0.7873214285714286
travel arrangements,0.7873214285714286
sop,0.7873015873095238
front office,0.7871428571130953
microcontroller,0.7861904762142856
network management,0.7861904762142856
embedded c,0.7861904762142856
robotic systems,0.7856547619642856
industrial electricity,0.7853571429285714
engineering economy,0.7853571429285714
instrumentation and controls,0.7853571429285714
electrical mechanical systems,0.7853571429285714
programmable logic controllers,0.7853571429285714
technical grammar skills,0.7853571429285714
scripts,0.785119047625
scanners,0.7850595238571428
iso,0.7849206349404761
visual basics,0.7846428571964286
proofing,0.7845238094642857
civil engineer,0.7845238094642857
meeting facilitation,0.7845238094642857
multi-line telephone,0.7845238094642857
5s,0.7839285714642857
pro-e,0.7839285714642857
value stream mapping,0.7839285714642857
programmable logic controls (plc),0.7839285714642857
gage r & r,0.7839285714642857
auto-cad,0.7839285714642857
process capability,0.7839285714642857
pfmea,0.7839285714642857
discrete control system (dcs),0.7839285714642857
failure modes and effective analysis (fmea),0.7839285714642857
lean manufacturing,0.7827040816377551
ims,0.7820178571488096
business administration,0.7800535714285715
type,0.779301587329365
microsoft project,0.778705782329932
catia,0.7776785714107143
calculator,0.7775000000059524
drivers,0.7772023809642857
strong management skills,0.7770238095238096
operating systems: xp windows professional / windows 7/ windows 8,0.7770238095238096
excellent communication and presentation skills,0.7770238095238096
tax software: drake / ultra tax / turbotax,0.7770238095238096
deadlines focused,0.7770238095238096
good analytical skills,0.7770238095238096
pdf: adobe reader / adobe acrobat x,0.7770238095238096
team-oriented,0.7770238095238096
microsoft office: word / advanced ms excel skills /ms access / powerpoint / outlook,0.7770238095238096
ability of managing multi tasks,0.7770238095238096
accounting software: peoplesoft / quickbooks,0.7770238095238096
ms visual basic,0.7764285713571429
integration testing,0.7764285713571429
telephones,0.7764285713571429
systems support,0.7764285713571429
ms-dos,0.7764285713571429
real time embedded systems,0.7764285713571429
white box,0.7764285713571429
real time embedded,0.7764285713571429
ms exchange,0.7764285713571429
ipx,0.7764285713571429
back end,0.7764285713571429
client/server,0.7764285713571429
qa test,0.7764285713571429
tcp,0.7764285713571429
excellent verbal and written communication skills,0.7764285713571429
planning modules,0.7764285713571429
black box testing,0.7764285713571429
black box,0.7764285713571429
usability,0.7764285713571429
qa testing,0.7764285713571429
windows 95,0.7764285713571429
white box testing,0.7764285713571429
design review,0.7764285713571429
quality engineer,0.7764285713571429
telephony,0.7764285713571429
software quality assurance,0.7764285713571429
software quality engineer,0.7764285713571429
issues management,0.7764285713571429
printing,0.7764285713571429
cases,0.7764285713571429
database systems,0.7764285713571429
regression testing,0.7764285713571429
architecture,0.7764285713571429
vm,0.7764285713571429
basis,0.7764285713571429
systems administration,0.7764285713571429
qa engineering,0.7764285713571429
e-business,0.7764285713571429
inspections,0.7764285713571429
adt,0.7764285713571429
wap,0.7764285713571429
dbase,0.7764285713571429
voice,0.7764285713571429
business process management,0.7764285713571429
test plans,0.7764285713571429
automated testing,0.7764285713571429
automated test scripts,0.7764285713571429
staff training,0.7764285713571429
test scripts,0.7764285713571429
